Date,CHP No1 kWHr Meter,CHP No2 kWHr Meter
2017-04-24 00:00:00,27490,24960
2017-04-25 00:00:00,27520,24990
2017-04-26 00:00:00,26440,24040
2017-04-27 00:00:00,25930,24980
2017-04-28 00:00:00,27680,25140
2017-04-29 00:00:00,27540,25010
2017-04-30 00:00:00,27330,24820
2017-05-01 00:00:00,27470,24960
2017-05-02 00:00:00,27510,25000
2017-05-03 00:00:00,27010,24600
2017-05-04 00:00:00,27540,25030
2017-05-05 00:00:00,26870,25050
2017-05-06 00:00:00,27300,25090
2017-05-07 00:00:00,27310,25090
2017-05-08 00:00:00,27580,25040
2017-05-09 00:00:00,27470,21950
2017-05-10 00:00:00,27430,19580
2017-05-11 00:00:00,26990,24940
2017-05-12 00:00:00,27540,25020
2017-05-13 00:00:00,27530,24960
2017-05-14 00:00:00,27530,22320
2017-05-15 00:00:00,27570,25050
2017-05-16 00:00:00,25490,24990
2017-05-17 00:00:00,24980,23910
2017-05-18 00:00:00,20200,18110
2017-05-19 00:00:00,27410,24940
2017-05-20 00:00:00,27520,24980
2017-05-21 00:00:00,27550,25020
2017-05-22 00:00:00,27470,24940
2017-05-23 00:00:00,19410,24910
2017-05-24 00:00:00,27380,24830
2017-05-25 00:00:00,26620,24250
2017-05-26 00:00:00,27350,23690
2017-05-27 00:00:00,25860,23390
2017-05-28 00:00:00,27370,24850
2017-05-29 00:00:00,27460,24930
2017-05-30 00:00:00,10850,9910
2017-05-31 00:00:00,25012.82575,25016.74463
2017-06-01 00:00:00,25012.82575,25016.74463
2017-06-02 00:00:00,25012.82575,25016.74463
2017-06-03 00:00:00,25012.82575,25016.74463
2017-06-04 00:00:00,13090,11780
2017-06-05 00:00:00,27450,24710
2017-06-06 00:00:00,27440,24820
2017-06-07 00:00:00,27350,24800
2017-06-08 00:00:00,27390,24870
2017-06-09 00:00:00,27330,24800
2017-06-10 00:00:00,27330,24810
2017-06-11 00:00:00,27260,24710
2017-06-12 00:00:00,27250,24720
2017-06-13 00:00:00,27350,14160
2017-06-14 00:00:00,21980,23320
2017-06-15 00:00:00,24900,27350
2017-06-16 00:00:00,24990,25110
2017-06-17 00:00:00,27160,26570
2017-06-18 00:00:00,27160,27280
2017-06-19 00:00:00,27150,27300
2017-06-20 00:00:00,26810,26720
2017-06-21 00:00:00,22400,26780
2017-06-22 00:00:00,8620,21920
2017-06-23 00:00:00,14790,27240
2017-06-24 00:00:00,27170,27200
2017-06-25 00:00:00,26580,26120
2017-06-26 00:00:00,27300,25570
2017-06-27 00:00:00,27280,26550
2017-06-28 00:00:00,27280,27380
2017-06-29 00:00:00,27290,27360
2017-06-30 00:00:00,27230,27290
2017-07-01 00:00:00,27200,27280
2017-07-02 00:00:00,26820,25440
2017-07-03 00:00:00,27260,27320
2017-07-04 00:00:00,27370,27460
2017-07-05 00:00:00,27350,27500
2017-07-06 00:00:00,27240,27400
2017-07-07 00:00:00,27260,27300
2017-07-08 00:00:00,27050,27020
2017-07-09 00:00:00,27120,27220
2017-07-10 00:00:00,27290,27400
2017-07-11 00:00:00,27340,27450
2017-07-12 00:00:00,27300,26770
2017-07-13 00:00:00,27180,25120
2017-07-14 00:00:00,11300,10140
2017-07-15 00:00:00,25012.82575,25016.74463
2017-07-16 00:00:00,25012.82575,25016.74463
2017-07-17 00:00:00,25012.82575,25016.74463
2017-07-18 00:00:00,25012.82575,25016.74463
2017-07-19 00:00:00,25012.82575,25016.74463
2017-07-20 00:00:00,25012.82575,25016.74463
2017-07-21 00:00:00,25012.82575,25016.74463
2017-07-22 00:00:00,25012.82575,25016.74463
2017-07-23 00:00:00,25012.82575,25016.74463
2017-07-24 00:00:00,25012.82575,25016.74463
2017-07-25 00:00:00,25012.82575,25016.74463
2017-07-26 00:00:00,25012.82575,25016.74463
2017-07-31 00:00:00,2520,1910
2017-08-01 00:00:00,2890,5580
2017-08-02 00:00:00,9530,25016.74463
2017-08-03 00:00:00,25910,8250
2017-08-04 00:00:00,23770,27230
2017-08-05 00:00:00,25860,26740
2017-08-06 00:00:00,26590,26700
2017-08-07 00:00:00,27320,27340
2017-08-08 00:00:00,27430,27420
2017-08-09 00:00:00,27060,27350
2017-08-10 00:00:00,27260,27290
2017-08-11 00:00:00,27320,27280
2017-08-12 00:00:00,27190,26480
2017-08-13 00:00:00,27190,27170
2017-08-14 00:00:00,27330,27290
2017-08-15 00:00:00,27270,27210
2017-08-16 00:00:00,27270,27210
2017-08-17 00:00:00,27040,26550
2017-08-18 00:00:00,27210,27110
2017-08-19 00:00:00,26240,26260
2017-08-20 00:00:00,20610,26120
2017-08-21 00:00:00,25012.82575,27300
2017-08-22 00:00:00,13000,27340
2017-08-23 00:00:00,27310,27290
2017-08-24 00:00:00,27330,27280
2017-08-25 00:00:00,27380,27270
2017-08-26 00:00:00,27270,27170
2017-08-27 00:00:00,26520,26630
2017-08-28 00:00:00,27210,27240
2017-08-29 00:00:00,27360,25140
2017-08-30 00:00:00,27400,27260
2017-08-31 00:00:00,27390,27210
2017-09-01 00:00:00,25010,26810
2017-09-02 00:00:00,25020,8030
2017-09-03 00:00:00,25012.82575,25910
2017-09-04 00:00:00,25012.82575,25940
2017-09-05 00:00:00,25012.82575,26450
2017-09-06 00:00:00,12750,26050
2017-09-07 00:00:00,26520,26240
2017-09-08 00:00:00,27210,13810
2017-09-09 00:00:00,27380,25016.74463
2017-09-10 00:00:00,27270,25016.74463
2017-09-11 00:00:00,27270,25016.74463
2017-09-12 00:00:00,27320,9520
2017-09-13 00:00:00,26210,22920
2017-09-14 00:00:00,26760,22230
2017-09-15 00:00:00,27330,24940
2017-09-16 00:00:00,27110,26310
2017-09-17 00:00:00,26280,27010
2017-09-18 00:00:00,27250,26700
2017-09-19 00:00:00,27560,25830
2017-09-20 00:00:00,27400,27570
2017-09-21 00:00:00,27420,27600
2017-09-22 00:00:00,27370,26060
2017-09-23 00:00:00,27220,26230
2017-09-24 00:00:00,27270,27520
2017-09-25 00:00:00,27510,27690
2017-09-26 00:00:00,27440,25990
2017-09-27 00:00:00,27340,27510
2017-09-28 00:00:00,27350,25440
2017-09-29 00:00:00,27310,27490
2017-09-30 00:00:00,26550,26870
2017-10-01 00:00:00,26850,27110
2017-10-02 00:00:00,27260,27430
2017-10-03 00:00:00,27360,27510
2017-10-04 00:00:00,26100,27420
2017-10-05 00:00:00,27030,27070
2017-10-06 00:00:00,27480,27630
2017-10-07 00:00:00,26760,26550
2017-10-08 00:00:00,26970,27230
2017-10-09 00:00:00,27400,27610
2017-10-10 00:00:00,27420,27600
2017-10-11 00:00:00,25120,25300
2017-10-12 00:00:00,27410,27620
2017-10-13 00:00:00,27380,27520
2017-10-14 00:00:00,27510,27710
2017-10-15 00:00:00,10630,27260
2017-10-16 00:00:00,25012.82575,27610
2017-10-17 00:00:00,25012.82575,27260
2017-10-18 00:00:00,25012.82575,21770
2017-10-19 00:00:00,25012.82575,26570
2017-10-20 00:00:00,25012.82575,25180
2017-10-21 00:00:00,25012.82575,24760
2017-10-22 00:00:00,25012.82575,26410
2017-10-23 00:00:00,25012.82575,27630
2017-10-24 00:00:00,25012.82575,27300
2017-10-25 00:00:00,25012.82575,27720
2017-10-26 00:00:00,25012.82575,26430
2017-10-27 00:00:00,25012.82575,27620
2017-10-28 00:00:00,25012.82575,26060
