Date,E Block
2017-05-04 00:00:00,3492
2017-05-05 00:00:00,3400
2017-05-06 00:00:00,2890
2017-05-07 00:00:00,2918
2017-05-08 00:00:00,3449
2017-05-09 00:00:00,3493
2017-05-10 00:00:00,3496
2017-05-11 00:00:00,3587
2017-05-12 00:00:00,3390
2017-05-13 00:00:00,2953
2017-05-14 00:00:00,2958
2017-05-15 00:00:00,3438
2017-05-16 00:00:00,3584
2017-05-17 00:00:00,3336
2017-05-18 00:00:00,3636
2017-05-19 00:00:00,3395
2017-05-20 00:00:00,2880
2017-05-21 00:00:00,2989
2017-05-22 00:00:00,3599
2017-05-23 00:00:00,3562
2017-05-24 00:00:00,3527
2017-05-25 00:00:00,3823
2017-05-26 00:00:00,3747
2017-05-27 00:00:00,3058
2017-05-28 00:00:00,2959
2017-05-29 00:00:00,2912
2017-05-30 00:00:00,3532
2017-05-31 00:00:00,3399
2017-06-01 00:00:00,3246
2017-06-02 00:00:00,2762
2017-06-03 00:00:00,2843
2017-06-04 00:00:00,3003
2017-06-05 00:00:00,3350
2017-06-06 00:00:00,3521
2017-06-07 00:00:00,3521
2017-06-08 00:00:00,3671
2017-06-09 00:00:00,3362
2017-06-10 00:00:00,3106
2017-06-11 00:00:00,2906
2017-06-12 00:00:00,3484
2017-06-13 00:00:00,3551
2017-06-14 00:00:00,3675
2017-06-15 00:00:00,3624
2017-06-16 00:00:00,3288
2017-06-17 00:00:00,3195
2017-06-18 00:00:00,3221
2017-06-19 00:00:00,3940
2017-06-20 00:00:00,3631
2017-06-21 00:00:00,3771
2017-06-22 00:00:00,3902
2017-06-23 00:00:00,3500
2017-06-24 00:00:00,2956
2017-06-25 00:00:00,3031
2017-06-26 00:00:00,3509
2017-06-27 00:00:00,3503
2017-06-28 00:00:00,3510
2017-06-29 00:00:00,3603
2017-06-30 00:00:00,3456
2017-07-01 00:00:00,3032
2017-07-02 00:00:00,2957
2017-07-03 00:00:00,3557
2017-07-04 00:00:00,3512
2017-07-05 00:00:00,3523
2017-07-06 00:00:00,3710
2017-07-07 00:00:00,3539
2017-07-08 00:00:00,3028
2017-07-09 00:00:00,3104
2017-07-10 00:00:00,3548
2017-07-11 00:00:00,3462
2017-07-12 00:00:00,3551
2017-07-13 00:00:00,3633
2017-07-14 00:00:00,3411
2017-07-15 00:00:00,2792
2017-07-16 00:00:00,2366
2017-07-17 00:00:00,2931
2017-07-18 00:00:00,3496
2017-07-19 00:00:00,3650
2017-07-20 00:00:00,3682
2017-07-21 00:00:00,3595
2017-07-22 00:00:00,3063
2017-07-23 00:00:00,3102
2017-07-24 00:00:00,3468
2017-07-25 00:00:00,3542
2017-07-26 00:00:00,1174
2017-07-31 00:00:00,1123
2017-08-01 00:00:00,3439
2017-08-02 00:00:00,3478
2017-08-03 00:00:00,3612
2017-08-04 00:00:00,3532
2017-08-05 00:00:00,2989
2017-08-06 00:00:00,3064
2017-08-07 00:00:00,3433
2017-08-08 00:00:00,3482
2017-08-09 00:00:00,3455
2017-08-10 00:00:00,3606
2017-08-11 00:00:00,3413
2017-08-12 00:00:00,2996
2017-08-13 00:00:00,2995
2017-08-14 00:00:00,3516
2017-08-15 00:00:00,3579
2017-08-16 00:00:00,3593
2017-08-17 00:00:00,3778
2017-08-18 00:00:00,3551
2017-08-19 00:00:00,3199
2017-08-20 00:00:00,2991
2017-08-21 00:00:00,3502
2017-08-22 00:00:00,3682
2017-08-23 00:00:00,3597
2017-08-24 00:00:00,3643
2017-08-25 00:00:00,3460
2017-08-26 00:00:00,2937
2017-08-27 00:00:00,2887
2017-08-28 00:00:00,2992
2017-08-29 00:00:00,3413
2017-08-30 00:00:00,3436
2017-08-31 00:00:00,3517
2017-09-01 00:00:00,3360
2017-09-02 00:00:00,2942
2017-09-03 00:00:00,2948
2017-09-04 00:00:00,3505
2017-09-05 00:00:00,3619
2017-09-06 00:00:00,3554
2017-09-07 00:00:00,3539
2017-09-08 00:00:00,3447
2017-09-09 00:00:00,2980
2017-09-10 00:00:00,3017
2017-09-11 00:00:00,3396
2017-09-12 00:00:00,3568
2017-09-13 00:00:00,3356
2017-09-14 00:00:00,3758
2017-09-15 00:00:00,3428
2017-09-16 00:00:00,3106
2017-09-17 00:00:00,2939
2017-09-18 00:00:00,3456
2017-09-19 00:00:00,3510
2017-09-20 00:00:00,3591
2017-09-21 00:00:00,3678
2017-09-22 00:00:00,3438
2017-09-23 00:00:00,3033
2017-09-24 00:00:00,3113
2017-09-25 00:00:00,3607
2017-09-26 00:00:00,3462
2017-09-27 00:00:00,3535
2017-09-28 00:00:00,3644
2017-09-29 00:00:00,3443
2017-09-30 00:00:00,2937
2017-10-01 00:00:00,2986
2017-10-02 00:00:00,3477
2017-10-03 00:00:00,3575
2017-10-04 00:00:00,3594
2017-10-05 00:00:00,3630
2017-10-06 00:00:00,3394
2017-10-07 00:00:00,3011
2017-10-08 00:00:00,3062
2017-10-09 00:00:00,3550
2017-10-10 00:00:00,3631
2017-10-11 00:00:00,3133
2017-10-12 00:00:00,3570
2017-10-13 00:00:00,3718
2017-10-14 00:00:00,3050
2017-10-15 00:00:00,3156
2017-10-16 00:00:00,3654
2017-10-17 00:00:00,3584
2017-10-18 00:00:00,3518
2017-10-19 00:00:00,3712
2017-10-20 00:00:00,3546
2017-10-21 00:00:00,3058
2017-10-22 00:00:00,3046
2017-10-23 00:00:00,3539
2017-10-24 00:00:00,3473
2017-10-25 00:00:00,3511
2017-10-26 00:00:00,3523
2017-10-27 00:00:00,3535
2017-10-28 00:00:00,3007
