Date,Main Site Water Meter
2017-04-24 00:00:00,230.64
2017-04-25 00:00:00,263.12
2017-04-26 00:00:00,223.14
2017-04-27 00:00:00,274.7
2017-04-28 00:00:00,179.68
2017-04-29 00:00:00,94
2017-04-30 00:00:00,104.04
2017-05-01 00:00:00,84.58
2017-05-02 00:00:00,236.34
2017-05-03 00:00:00,185.52
2017-05-04 00:00:00,235.44
2017-05-05 00:00:00,183.2
2017-05-06 00:00:00,92.16
2017-05-07 00:00:00,86.66
2017-05-08 00:00:00,189.4
2017-05-09 00:00:00,220.36
2017-05-10 00:00:00,170.68
2017-05-11 00:00:00,174.22
2017-05-12 00:00:00,164.04
2017-05-13 00:00:00,87.9
2017-05-14 00:00:00,82.82
2017-05-15 00:00:00,146.18
2017-05-16 00:00:00,176.24
2017-05-17 00:00:00,176.22
2017-05-18 00:00:00,215.5
2017-05-19 00:00:00,192.48
2017-05-20 00:00:00,67.92
2017-05-21 00:00:00,87.52
2017-05-22 00:00:00,158.86
2017-05-23 00:00:00,229.08
2017-05-24 00:00:00,197.54
2017-05-25 00:00:00,224.04
2017-05-26 00:00:00,203.64
2017-05-27 00:00:00,94.14
2017-05-28 00:00:00,73.6
2017-05-29 00:00:00,60.3
2017-05-30 00:00:00,197.2
2017-05-31 00:00:00,182.1
2017-06-01 00:00:00,192.12
2017-06-02 00:00:00,192.28
2017-06-03 00:00:00,84.56
2017-06-04 00:00:00,96.64
2017-06-05 00:00:00,160.9
2017-06-06 00:00:00,212.92
2017-06-07 00:00:00,192.72
2017-06-08 00:00:00,156.56
2017-06-09 00:00:00,135.42
2017-06-10 00:00:00,64.48
2017-06-11 00:00:00,61.02
2017-06-12 00:00:00,181.22
2017-06-13 00:00:00,179.56
2017-06-14 00:00:00,145.6
2017-06-15 00:00:00,163.12
2017-06-16 00:00:00,131.12
2017-06-17 00:00:00,73.94
2017-06-18 00:00:00,88.96
2017-06-19 00:00:00,159.2
2017-06-20 00:00:00,230.36
2017-06-21 00:00:00,183.98
2017-06-22 00:00:00,155.24
2017-06-23 00:00:00,165.06
2017-06-24 00:00:00,79.82
2017-06-25 00:00:00,75.04
2017-06-26 00:00:00,163.56
2017-06-27 00:00:00,219.04
2017-06-28 00:00:00,168.94
2017-06-29 00:00:00,209.98
2017-06-30 00:00:00,166.18
2017-07-01 00:00:00,72.36
2017-07-02 00:00:00,80.72
2017-07-03 00:00:00,182.22
2017-07-04 00:00:00,228.02
2017-07-05 00:00:00,183.52
2017-07-06 00:00:00,185.94
2017-07-07 00:00:00,150.36
2017-07-08 00:00:00,88.84
2017-07-09 00:00:00,86.24
2017-07-10 00:00:00,159.74
2017-07-11 00:00:00,196.26
2017-07-12 00:00:00,214.26
2017-07-13 00:00:00,231.58
2017-07-14 00:00:00,203.94
2017-07-15 00:00:00,109.72
2017-07-16 00:00:00,177.16
2017-07-17 00:00:00,183.96
2017-07-18 00:00:00,232.68
2017-07-19 00:00:00,204.6
2017-07-20 00:00:00,185.92
2017-07-21 00:00:00,159.98
2017-07-22 00:00:00,156.12
2017-07-23 00:00:00,91.78
2017-07-24 00:00:00,164.56
2017-07-25 00:00:00,175.36
2017-07-26 00:00:00,55.92
2017-07-31 00:00:00,62.54
2017-08-01 00:00:00,188.32
2017-08-02 00:00:00,231.12
2017-08-03 00:00:00,193.32
2017-08-04 00:00:00,175.22
2017-08-05 00:00:00,78.28
2017-08-06 00:00:00,74.58
2017-08-07 00:00:00,167.16
2017-08-08 00:00:00,227.68
2017-08-09 00:00:00,283.08
2017-08-10 00:00:00,213.72
2017-08-11 00:00:00,173.64
2017-08-12 00:00:00,108.36
2017-08-13 00:00:00,124.28
2017-08-14 00:00:00,203.8
2017-08-15 00:00:00,218.76
2017-08-16 00:00:00,242.72
2017-08-17 00:00:00,202.32
2017-08-18 00:00:00,144.36
2017-08-19 00:00:00,71.96
2017-08-20 00:00:00,77.68
2017-08-21 00:00:00,157.12
2017-08-22 00:00:00,186.24
2017-08-23 00:00:00,183.24
2017-08-24 00:00:00,183.28
2017-08-25 00:00:00,140.76
2017-08-26 00:00:00,97.64
2017-08-27 00:00:00,68.8
2017-08-28 00:00:00,66.6
2017-08-29 00:00:00,159.32
2017-08-30 00:00:00,168.36
2017-08-31 00:00:00,169.84
2017-09-01 00:00:00,154.6
2017-09-02 00:00:00,103.84
2017-09-03 00:00:00,83.08
2017-09-04 00:00:00,161
2017-09-05 00:00:00,183.32
2017-09-06 00:00:00,165.76
2017-09-07 00:00:00,162.56
2017-09-08 00:00:00,153.4
2017-09-09 00:00:00,78.52
2017-09-10 00:00:00,103.44
2017-09-11 00:00:00,156.04
2017-09-12 00:00:00,171.04
2017-09-13 00:00:00,166.12
2017-09-14 00:00:00,167.56
2017-09-15 00:00:00,190.68
2017-09-16 00:00:00,147.4
2017-09-17 00:00:00,144
2017-09-18 00:00:00,221.52
2017-09-19 00:00:00,268.64
2017-09-20 00:00:00,257.04
2017-09-21 00:00:00,224.96
2017-09-22 00:00:00,136.04
2017-09-23 00:00:00,78.64
2017-09-24 00:00:00,64.56
2017-09-25 00:00:00,135.32
2017-09-26 00:00:00,164.6
2017-09-27 00:00:00,152.84
2017-09-28 00:00:00,169.32
2017-09-29 00:00:00,153.44
2017-09-30 00:00:00,74.36
2017-10-01 00:00:00,69.28
2017-10-02 00:00:00,190.72
2017-10-03 00:00:00,260.2
2017-10-04 00:00:00,256.12
2017-10-05 00:00:00,249.48
2017-10-06 00:00:00,189.08
2017-10-07 00:00:00,83.48
2017-10-08 00:00:00,122.4
2017-10-09 00:00:00,145.28
2017-10-10 00:00:00,164.52
2017-10-11 00:00:00,142.76
2017-10-12 00:00:00,162.48
2017-10-13 00:00:00,158.32
2017-10-14 00:00:00,64.52
2017-10-15 00:00:00,63.44
2017-10-16 00:00:00,209.24
2017-10-17 00:00:00,256.04
2017-10-18 00:00:00,176.84
2017-10-19 00:00:00,180.72
2017-10-20 00:00:00,156.6
2017-10-21 00:00:00,78.52
2017-10-22 00:00:00,64.8
2017-10-23 00:00:00,197.04
2017-10-24 00:00:00,209.68
2017-10-25 00:00:00,187.44
2017-10-26 00:00:00,167.48
2017-10-27 00:00:00,139.2
2017-10-28 00:00:00,74.92
2017-10-29 00:00:00,66.2
2017-10-30 00:00:00,212.52
2017-10-31 00:00:00,255.72
2017-11-01 00:00:00,250.76
2017-11-02 00:00:00,168.4
2017-11-03 00:00:00,134.56
2017-11-04 00:00:00,75.68
2017-11-05 00:00:00,92.12
2017-11-06 00:00:00,186.76
2017-11-07 00:00:00,189.24
2017-11-08 00:00:00,148.84
2017-11-09 00:00:00,177.24
