Date,DC8 C Block Basement,DC97 C Block Canteen,C Block T15 DC124,C Block T5 DC22A,C Block T6 DC22B,C Block T16 DC150
2017-02-13 00:00:00,1694,809,9980,7712,5695,7187
2017-02-14 00:00:00,1720,849,10000,7710,5701,7565
2017-02-15 00:00:00,1665,834,9980,7616,5061,7340
2017-02-16 00:00:00,1705,816,9800,7582,5044,7464
2017-02-17 00:00:00,1659,772,9610,7318,4791,7377
2017-02-18 00:00:00,1377,367,8490,5998,3647,6723
2017-02-19 00:00:00,1352,409,8490,6191,3711,6628
2017-02-20 00:00:00,1620,820,9300,7518,5123,7542
2017-02-21 00:00:00,1478,814,9040,7484,5024,7642
2017-02-22 00:00:00,1240,852,8940,7509,4963,7642
2017-02-23 00:00:00,1242,838,9140,7689,5229,7653
2017-02-24 00:00:00,1234,854,8860,7359,4859,7458
2017-02-25 00:00:00,1058,523,8180,5969,3148,6758
2017-02-26 00:00:00,1093,550,8180,5768,3377,6700
2017-02-27 00:00:00,1519,845,9070,7452,5303,7757
2017-02-28 00:00:00,1804,860,9440,7625,5787,7788
2017-03-01 00:00:00,1769,837,9790,7548,5494,7643
2017-03-02 00:00:00,1789,872,9840,7707,6070,7744
2017-03-03 00:00:00,1765,826,9780,7180,5762,7296
2017-03-04 00:00:00,1553,383,8980,5588,4227,6660
2017-03-05 00:00:00,1536,418,8970,5746,4298,6817
2017-03-06 00:00:00,1760,845,9840,7480,5670,7595
2017-03-07 00:00:00,1678,859,10130,7561,5513,7738
2017-03-08 00:00:00,1572,852,10130,7689,5538,7890
2017-03-09 00:00:00,1743,857,10160,7821,5855,8047
2017-03-10 00:00:00,1737,773,9830,7194,5003,7767
2017-03-11 00:00:00,1506,394,8720,5826,3609,6976
2017-03-12 00:00:00,1519,428,8870,5996,3721,6616
2017-03-13 00:00:00,1755,849,9499,7322,5552,7694
2017-03-14 00:00:00,1788,850,10300,7192,5546,7409
2017-03-15 00:00:00,1852,881,9110,7018,5310,7822
2017-03-16 00:00:00,1838,889,10080,7744,5186,7600
2017-03-17 00:00:00,1829,810,9880,7180,4986,7488
2017-03-18 00:00:00,1643,381,9200,5355,3797,6702
2017-03-19 00:00:00,1617,415,9290,5329,3799,6763
2017-03-20 00:00:00,1904,915,10030,7382,5291,7422
2017-03-21 00:00:00,1995,943,7360,7773,5593,10282
2017-03-22 00:00:00,1985,917,10170,7792,5882,7625
2017-03-23 00:00:00,1900,868,9980,7761,5297,7342
2017-03-24 00:00:00,1820,805,9580,7326,4942,7086
2017-03-25 00:00:00,1564,391,8340,6185,4025,6626
2017-03-26 00:00:00,1490,418,7810,5806,3790,6443
2017-03-27 00:00:00,1830,850,9140,7078,5308,7595
2017-03-28 00:00:00,1884,880,9240,7532,5377,7626
2017-03-29 00:00:00,1551,722,8290,6806,4660,6655
2017-03-30 00:00:00,1682,857,9350,7843,5245,7684
2017-03-31 00:00:00,1710,789,8910,7457,4658,7737
2017-04-01 00:00:00,1547,415,7630,5945,3626,7171
2017-04-02 00:00:00,1518,439,7660,6102,3512,7110
2017-04-03 00:00:00,1835,845,8280,7692,5292,7810
2017-04-04 00:00:00,1896,804,8830,7730,5202,7933
2017-04-05 00:00:00,1881,859,8740,7722,5305,7935
2017-04-06 00:00:00,1893,877,8850,7773,5461,7733
2017-04-07 00:00:00,1825,813,8930,7305,4825,7478
2017-04-08 00:00:00,1568,392,8300,5461,3710,6870
2017-04-09 00:00:00,1577,419,8390,5510,3776,6920
2017-04-10 00:00:00,1841,879,9120,7098,5434,7876
2017-04-11 00:00:00,1882,888,9060,7540,5621,7705
2017-04-12 00:00:00,1880,870,8700,7603,5817,7640
2017-04-13 00:00:00,1857,858,9570,7432,5774,7648
2017-04-14 00:00:00,1019,150,7160,2369,3582,2657
2017-04-15 00:00:00,712,84,6360,1609,3423,2129
2017-04-16 00:00:00,1636,268,6820,5075,3634,6494
2017-04-17 00:00:00,1712,259,8190,5272,3892,6244
2017-04-18 00:00:00,1883,786,9490,7253,5630,7538
2017-04-19 00:00:00,1866,835,9630,7441,5571,7761
2017-04-20 00:00:00,1852,855,9660,7439,5564,7541
2017-04-21 00:00:00,1824,792,9470,6986,5136,7341
2017-04-22 00:00:00,1606,407,8470,5671,4181,6437
2017-04-23 00:00:00,1627,456,8550,5748,4222,6753
2017-04-24 00:00:00,1892,873,9630,7253,5404,7695
2017-04-25 00:00:00,1899,861,10430,7485,5993,7792
2017-04-26 00:00:00,1822,804,10140,6893,5438,7446
2017-04-27 00:00:00,1899,874,10360,7359,6160,7775
2017-04-28 00:00:00,1838,808,9940,7188,5023,7429
2017-04-29 00:00:00,1588,393,8870,5582,3986,6971
2017-04-30 00:00:00,1605,434,8730,5747,3872,6781
2017-05-01 00:00:00,1667,474,8730,5561,3952,6441
2017-05-02 00:00:00,1836,867,9970,7515,5254,7644
2017-05-03 00:00:00,1736,857,9940,7670,4982,7521
2017-05-04 00:00:00,1824,902,10310,7757,5724,7898
2017-05-05 00:00:00,1730,850,9920,7429,4949,7477
2017-05-06 00:00:00,1474,437,8910,5852,3779,6859
2017-05-07 00:00:00,1503,496,4740,3023,2026,3473
2017-05-08 00:00:00,1802,893,8680.783929,7510.341071,3870.028266,6258.025595
2017-05-09 00:00:00,1828,839,8680.783929,7510.341071,3870.028266,6258.025595
2017-05-10 00:00:00,1804,864,8680.783929,7510.341071,3870.028266,6258.025595
2017-05-11 00:00:00,1814,867,8680.783929,7510.341071,3870.028266,6258.025595
2017-05-12 00:00:00,1759,824,8680.783929,7510.341071,3870.028266,6258.025595
2017-05-13 00:00:00,1512,482,8680.783929,7510.341071,3870.028266,6258.025595
2017-05-14 00:00:00,1470,458,8680.783929,7510.341071,3870.028266,6258.025595
2017-05-15 00:00:00,1791,874,8680.783929,7510.341071,3870.028266,6258.025595
2017-05-16 00:00:00,1999,862,8680.783929,7510.341071,3870.028266,6258.025595
2017-05-17 00:00:00,1750,848,8680.783929,7510.341071,3870.028266,6258.025595
2017-05-18 00:00:00,1782,849,8680.783929,7510.341071,3870.028266,6258.025595
2017-05-19 00:00:00,1731,834,8680.783929,7510.341071,3870.028266,6258.025595
2017-05-20 00:00:00,1497,411,8680.783929,7510.341071,3870.028266,6258.025595
2017-05-21 00:00:00,1495,509,8680.783929,7510.341071,3870.028266,6258.025595
2017-05-22 00:00:00,1759,919,8680.783929,7510.341071,3870.028266,6258.025595
2017-05-23 00:00:00,1771,886,8680.783929,7510.341071,3870.028266,6258.025595
2017-05-24 00:00:00,1820,929,8680.783929,7510.341071,3870.028266,6258.025595
2017-05-25 00:00:00,1948,934,8680.783929,7510.341071,3870.028266,6258.025595
2017-05-26 00:00:00,1925,918,8680.783929,7510.341071,3870.028266,6258.025595
2017-05-27 00:00:00,1610,478,8680.783929,7510.341071,3870.028266,6258.025595
2017-05-28 00:00:00,1612,485,8680.783929,7510.341071,3870.028266,6258.025595
2017-05-29 00:00:00,1624,509,8680.783929,7510.341071,3870.028266,6258.025595
2017-05-30 00:00:00,1967,927,8680.783929,7510.341071,3870.028266,6258.025595
2017-05-31 00:00:00,1702,835,4360,3346,2411,3033
2017-06-01 00:00:00,1904,906,8980,6836,5269,6720
2017-06-02 00:00:00,1862,854,8620,6355,4768,6604
2017-06-03 00:00:00,1518,434,7800,5198,3438,5854
2017-06-04 00:00:00,1463,490,8630,5703,3584,6535
2017-06-05 00:00:00,1730,889,9760,7591,5269,7402
2017-06-06 00:00:00,1846,923,9850,7630,5823,7536
2017-06-07 00:00:00,1821,886,9840,7593,5572,7510
2017-06-08 00:00:00,1845,907,9800,7701,5228,7514
2017-06-09 00:00:00,728,325,9660,7329,4788,7495
2017-06-10 00:00:00,1693.056549,990.384847,9220,5765,3834,7075
2017-06-11 00:00:00,1693.056549,990.384847,9250,5668,3778,6950
2017-06-12 00:00:00,1693.056549,990.384847,9920,7454,5517,7423
2017-06-13 00:00:00,978,461,10160,7582,5058,7488
2017-06-14 00:00:00,1938,910,10280,7726,5016,7562
2017-06-15 00:00:00,1995,919,10240,7809,5327,7540
2017-06-16 00:00:00,1811,802,9310,6982,4532,6961
2017-06-17 00:00:00,1703,450,8940,5814,4082,6684
2017-06-18 00:00:00,1692,494,8860,6006,4084,6674
2017-06-19 00:00:00,2014,955,10040,7749,5473,7393
2017-06-20 00:00:00,2026,947,10160,7870,6162,7613
2017-06-21 00:00:00,2012,947,10530,7911,5487,7879
