Date,CHP No1 Gas Meter,CHP No2 Gas Meter
2017-04-29 00:00:00,7055,6332
2017-04-30 00:00:00,7072,6339
2017-05-01 00:00:00,7077,6356
2017-05-02 00:00:00,7087,6380
2017-05-03 00:00:00,6939,6267
2017-05-04 00:00:00,7041,6342
2017-05-05 00:00:00,6898,6341
2017-05-06 00:00:00,7070,6397
2017-05-07 00:00:00,7044,6388
2017-05-08 00:00:00,7087,6377
2017-05-09 00:00:00,7086,5660
2017-05-10 00:00:00,7106,5018
2017-05-11 00:00:00,7092,6466
2017-05-12 00:00:00,7174,6425
2017-05-13 00:00:00,7090,6328
2017-05-14 00:00:00,7073,5682
2017-05-15 00:00:00,7104,6379
2017-05-16 00:00:00,6755,6427
2017-05-17 00:00:00,6485,6103
2017-05-18 00:00:00,5317,4703
2017-05-19 00:00:00,7183,6432
2017-05-20 00:00:00,7169,6416
2017-05-21 00:00:00,7170,6415
2017-05-22 00:00:00,7191,6414
2017-05-23 00:00:00,5165,6444
2017-05-24 00:00:00,7296,6410
2017-05-25 00:00:00,7048,6240
2017-05-26 00:00:00,7277,6131
2017-05-27 00:00:00,6932,6082
2017-05-28 00:00:00,7245,6447
2017-05-29 00:00:00,7267,6476
2017-05-30 00:00:00,2876,2573
2017-05-31 00:00:00,6045.716901,6081.302839
2017-06-01 00:00:00,6045.716901,6081.302839
2017-06-02 00:00:00,6045.716901,6081.302839
2017-06-03 00:00:00,6045.716901,6081.302839
2017-06-04 00:00:00,3483,3069
2017-06-05 00:00:00,7223,6436
2017-06-06 00:00:00,7238,6471
2017-06-07 00:00:00,7202,6453
2017-06-08 00:00:00,7183,6435
2017-06-09 00:00:00,7094,6337
2017-06-10 00:00:00,7146,6396
2017-06-11 00:00:00,7101,6344
2017-06-12 00:00:00,7003,6282
2017-06-13 00:00:00,7011,3622
2017-06-14 00:00:00,5775,5995
2017-06-15 00:00:00,6594,7034
2017-06-16 00:00:00,6488,6343
2017-06-17 00:00:00,7071,6702
2017-06-18 00:00:00,7120,6918
2017-06-19 00:00:00,7067,6873
2017-06-20 00:00:00,6979,6767
2017-06-21 00:00:00,5911,6811
2017-06-22 00:00:00,2286,5572
2017-06-23 00:00:00,3873,6976
2017-06-24 00:00:00,7043,6925
2017-06-25 00:00:00,6837,6610
2017-06-26 00:00:00,6954,6436
2017-06-27 00:00:00,7096,6792
2017-06-28 00:00:00,7117,7026
2017-06-29 00:00:00,7128,7018
2017-06-30 00:00:00,7093,6978
2017-07-01 00:00:00,7071,6952
2017-07-02 00:00:00,6962,6485
2017-07-03 00:00:00,7039,6913
2017-07-04 00:00:00,7061,6972
2017-07-05 00:00:00,7073,6998
2017-07-06 00:00:00,7097,6988
2017-07-07 00:00:00,7086,6945
2017-07-08 00:00:00,7046,6917
2017-07-09 00:00:00,7053,6925
2017-07-10 00:00:00,7090,6973
2017-07-11 00:00:00,7098,7001
2017-07-12 00:00:00,6951,6712
2017-07-13 00:00:00,6982,6388
2017-07-14 00:00:00,2908,2597
2017-07-15 00:00:00,1,6081.302839
2017-07-16 00:00:00,1,6081.302839
2017-07-17 00:00:00,1,6081.302839
2017-07-18 00:00:00,6045.716901,6081.302839
2017-07-19 00:00:00,6045.716901,6081.302839
2017-07-20 00:00:00,6045.716901,6081.302839
2017-07-21 00:00:00,6045.716901,6081.302839
2017-07-22 00:00:00,6045.716901,6081.302839
2017-07-23 00:00:00,6045.716901,6081.302839
2017-07-24 00:00:00,6045.716901,6081.302839
2017-07-25 00:00:00,6045.716901,6081.302839
2017-07-26 00:00:00,6045.716901,6081.302839
2017-07-31 00:00:00,741,527
2017-08-01 00:00:00,825,1527
2017-08-02 00:00:00,2609,6081.302839
2017-08-03 00:00:00,6690,2083
2017-08-04 00:00:00,6015,6858
2017-08-05 00:00:00,6483,6687
2017-08-06 00:00:00,6655,6684
2017-08-07 00:00:00,6844,6881
2017-08-08 00:00:00,6873,6898
2017-08-09 00:00:00,6797,6895
2017-08-10 00:00:00,6801,6833
2017-08-11 00:00:00,6783,6814
2017-08-12 00:00:00,6750,6619
2017-08-13 00:00:00,6727,6752
2017-08-14 00:00:00,6791,6824
2017-08-15 00:00:00,6740,6768
2017-08-16 00:00:00,6689,6708
2017-08-17 00:00:00,6662,6584
2017-08-18 00:00:00,6701,6718
2017-08-19 00:00:00,6506,6513
2017-08-20 00:00:00,5086,6461
2017-08-21 00:00:00,6045.716901,6733
2017-08-22 00:00:00,3165,6696
2017-08-23 00:00:00,6654,6675
2017-08-24 00:00:00,6678,6698
2017-08-25 00:00:00,6655,6663
2017-08-26 00:00:00,6705,6715
2017-08-27 00:00:00,6646,6673
2017-08-28 00:00:00,6766,6800
2017-08-29 00:00:00,6733,6229
2017-08-30 00:00:00,6742,6756
2017-08-31 00:00:00,6742,6742
2017-09-01 00:00:00,6194,6652
2017-09-02 00:00:00,6189,2140
2017-09-03 00:00:00,6045.716901,6446
2017-09-04 00:00:00,6045.716901,6442
2017-09-05 00:00:00,6045.716901,6535
2017-09-06 00:00:00,3141,6393
2017-09-07 00:00:00,6531,6420
2017-09-08 00:00:00,6670,3400
2017-09-09 00:00:00,6681,6081.302839
2017-09-10 00:00:00,6684,6081.302839
2017-09-11 00:00:00,6688,6081.302839
2017-09-12 00:00:00,6666,2301
2017-09-13 00:00:00,6345,5545
2017-09-14 00:00:00,6498,5403
2017-09-15 00:00:00,6586,6016
2017-09-16 00:00:00,6513,6314
2017-09-17 00:00:00,6513,6478
2017-09-18 00:00:00,6617,6413
2017-09-19 00:00:00,6601,6190
2017-09-20 00:00:00,6629,6644
2017-09-21 00:00:00,6678,6698
2017-09-22 00:00:00,6656,6334
2017-09-23 00:00:00,6656,6406
2017-09-24 00:00:00,6693,6705
2017-09-25 00:00:00,6702,6701
2017-09-26 00:00:00,6720,6387
2017-09-27 00:00:00,6736,6739
2017-09-28 00:00:00,6723,6226
2017-09-29 00:00:00,6676,6684
2017-09-30 00:00:00,6510,6530
2017-10-01 00:00:00,6592,6605
2017-10-02 00:00:00,6680,6688
2017-10-03 00:00:00,6734,6742
2017-10-04 00:00:00,6720,6725
2017-10-05 00:00:00,6686,6654
2017-10-06 00:00:00,6698,6703
2017-10-07 00:00:00,6579,6487
2017-10-08 00:00:00,6598,6624
2017-10-09 00:00:00,6685,6691
2017-10-10 00:00:00,6707,6708
2017-10-11 00:00:00,6136,6137
2017-10-12 00:00:00,6727,6723
2017-10-13 00:00:00,6769,6759
2017-10-14 00:00:00,6745,6749
2017-10-15 00:00:00,6726,6619
2017-10-16 00:00:00,6711,6715
2017-10-17 00:00:00,6720,6646
2017-10-18 00:00:00,6192,5364
2017-10-19 00:00:00,6595,6501
2017-10-20 00:00:00,6710,6149
2017-10-21 00:00:00,6688,6044
2017-10-22 00:00:00,6525,6412
2017-10-23 00:00:00,6716,6709
2017-10-24 00:00:00,6650,6633
2017-10-25 00:00:00,5594,6715
2017-10-26 00:00:00,6703,6716
2017-10-27 00:00:00,6665,6682
2017-10-28 00:00:00,6319,6338
2017-10-29 00:00:00,6651,6688
2017-10-30 00:00:00,6355,6369
2017-10-31 00:00:00,6692,4896
2017-11-01 00:00:00,6687,6665
2017-11-02 00:00:00,6693,6543
2017-11-03 00:00:00,6691,6675
2017-11-04 00:00:00,6511,6531
2017-11-05 00:00:00,6531,6527
2017-11-06 00:00:00,6521,6685
2017-11-07 00:00:00,6707,6685
2017-11-08 00:00:00,6678,6656
2017-11-09 00:00:00,6642,6613
2017-11-10 00:00:00,6660,6638
2017-11-11 00:00:00,6507,6502
2017-11-12 00:00:00,6554,6552
2017-11-13 00:00:00,5244,5239
2017-11-14 00:00:00,6646,6447
2017-11-15 00:00:00,6654,6636
2017-11-16 00:00:00,6647,6635
2017-11-17 00:00:00,6506,6126
2017-11-18 00:00:00,6358,6526
2017-11-19 00:00:00,6605,6606
2017-11-20 00:00:00,6139,3433
2017-11-21 00:00:00,6573,2833
2017-11-22 00:00:00,6704,6689
2017-11-23 00:00:00,6701,6689
2017-11-24 00:00:00,6638,6653
2017-11-25 00:00:00,6481,6523
2017-11-26 00:00:00,6454,6496
2017-11-27 00:00:00,6602,6639
2017-11-28 00:00:00,6606,6639
2017-11-29 00:00:00,6609,6554
2017-11-30 00:00:00,6594,6482
2017-12-01 00:00:00,6624,6665
2017-12-02 00:00:00,6541,6582
2017-12-03 00:00:00,6465,6660
2017-12-04 00:00:00,6702,6739
2017-12-05 00:00:00,6397,6724
2017-12-06 00:00:00,6637,6609
